
2025/01/28 (20:39:15) | ===> btop++ v.1.4.0
2025/01/28 (20:39:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/28 (20:39:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/28 (20:39:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (20:53:08) | ===> btop++ v.1.4.0
2025/01/28 (20:53:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/28 (20:53:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/28 (20:53:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (21:21:31) | ===> btop++ v.1.4.0
2025/01/28 (21:21:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/28 (21:21:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/28 (21:21:31) | WARNING: Intel GPU: Failed to initialize PMU
